Nombre;Estrellas restaurante;Usuario;Titulo comentario;Comentario;Calificacion
Mundo Verde;4.0;mcamilahs96;Nunca tienen las cosas de la carta disponibles;A pesar de que la carta es muy amplia y la calidad de la comida es muy buena (visito mucho este lugar), últimamente he notado que no tienen muchas cosas de la carta disponibles. Llevo 3 visitas seguidas en las últimas 2 semanas (en puntos...diferentes) y no he podido comer lo que quiero porque está agotado. El día de hoy fue terrible, ya que 3 platos de los que pedí No estaban !! Opción 1. No está, opción 2, tampoco, opción 3, tampoco !! Esto ya deja mucho que desearMás;2.0
Mundo Verde;4.0;Bear I;SALUDABLE Y RICO;Nos pareció un restaurante con muchas opciones por escoger y la comida muy deliciosa, es una muy buena opción si piensas en comer algo saludable.Visita nuestro IG para más detalles de nuestra experiencia wild_t_bear y fatima.maytee;5.0
Mundo Verde;4.0;zulyna21;Excelente;"Fuimos al que está dentro del CC Oviedo y todo excelente desde la atención hasta la comida.
Pedimos una hamburguesa de carne y un wrap de pollo y todo muy saludable y rico";5.0
Mundo Verde;4.0;caroavendano;La comida es muy rica;Fuimos al Mundo Verde de Unicentro en Laureles y delicioso, nunca habia pedido sanduche, pedi el BLT muy rico con ensalada, el servicio estuvo un poco lento, pero era que el restaurante estaba muy lleno;5.0
Mundo Verde;4.0;garangole;Líneas de atención telefonicas;Pedir un domicilio es casi imposible, las líneas de teléfono de alguna de las sucursales que aparecen en la pagina no corresponden a mundo verde, y cuando llamamos al 4441838 opción 1, no contestan.;2.0
Mundo Verde;4.0;Vero_marinm;En nuestra Top List;"Él ambiente del lugar siempre nos ha parecido muy agradable, mobiliario cómodo y el servicio al cliente por lo general es excelente, al igual que los platos. No hay una sola preparación de los platillos que hemos probado, que no queramos repetir porque todos son...deliciosos, muy balanceados y saludables, como también lo son sus batidos y jugos.

Es uno de los pocos restaurantes que maneja una cartilla de alérgenos en la que puedes ubicar aquellos ingredientes a los que eres alérgico o te caen muy pesado. Es algo que deberían implementar todos los restaurantes. 

Los postres son exquisitos con sabores únicos.Más";5.0
Mundo Verde;4.0;MariaCamilaCT;Siempre en mi lista;Es un lugar tranquilo, agradable, saludable, comida de buen sabor  porciones perfectas, buena presentación, y variedad de platos;5.0
Mundo Verde;4.0;Andrea C;Domicilios;Pedir un domicilio en este restaurante es un suplicio, si no quieres tener un mal día y tienes mucha hambre no pidas aquí;1.0
Mundo Verde;4.0;andresvillacor;Mala actitud de la administradora de Oviedo ;Realicé una compra el pasado sábado y por error la niña me hizo un cobro doble de mi tarjeta! Se comprometieron con hacerme el desembolso en dos días pero al miércoles no lo habían hecho! Llamé y una señora el jueves me devolvió la llamada...(María Fernanda)  indicándome que en 2 días me harían el reembolso ! Pasaron 3 días y tampoco lo hicieron por lo que llamé hoy sábado y me comí que nuevamente con María Fernanda , ella me informó que se les había olvidado a lo cual me parece una respuesta muy pobre ya que ha pasado una semana para devolver un pago que el local cobra doble ! Lo que más me sorprendió fue la actitud displicente de María fernanada la cual me colgó la llamada no se despidió y me dejó hablando solo por teléfono ! La comida es deliciosa y me encara su menú pero situaciones cómo está dejan mucho que decir especialmente de la ‘administración’Más;2.0
Mundo Verde;4.0;sandra janeth t;Comida y lugar maravillosos.;La atención al cliente, la comida y el ambiente, dan cuenta del ADN del negocio. Recomendadísimo para conocer una experiencia saludable con mucho sabor, variedad y novedad.;5.0
Toro Restaurante (poblado);5.0;Daloga2467;Limonada de vino!;"Un lugar muy agradable, desde que llegas puedes ver la cocina en acción y bajando las escalas encuentras un espacio bien ambientado, organizado y muy acogedor.
Cortes de carne llenos de sabor, una entrada de queso deliciosa y la limonada de vino es demasiado refrescante...y rica!

Volveré, muchas graciasMás";5.0
Toro Restaurante (poblado);5.0;Henry I;Especializados en carnés;Excelente servicio y las carnes deliciosas. Fui con mi esposa y mi bebe a celebrar nuestro aniversario y la atención excelente. Recomendado 100%;5.0
Toro Restaurante (poblado);5.0;Monjeoscuro;Parche de amigos;Deliciosa comida...la carne muy sabrosa... El sitio muy bonito limpio y agradable y excelente servicio....;5.0
Toro Restaurante (poblado);5.0;eli0enayc;Aniversario;Excelente comida, Excelente atención, el espacio es muy agradable y lindo. El lugar es agradable transmite una muy buena energía es como si estuvieras en casa cómodo nos encantó conocer el lugar esperamos ir nuevamente.;5.0
Toro Restaurante (poblado);5.0;sarapP1983ZA;Excelente restaurante;Muy buena atención, el lugar muy lindo y la comida deliciosa. Una muy buena referencia para comer en Medellín 💕💕;5.0
Toro Restaurante (poblado);5.0;jdhag;Excelente parrilla;"Cómo siempre la comida de Toro es excelente y a muy buen precio. La atención también es muy buena.
Esta sede de El Poblado es muy agradable.";5.0
Toro Restaurante (poblado);5.0;edrad2022;Reunión familiar;Excelente atención, el espacio es muy lindo y la comida es muy rica. El lugar es agradable y con muy buena energía te sientes en tu casa. Lo recomiendo al 100%;5.0
Toro Restaurante (poblado);5.0;DeboSalas24;Celebración familiar;Recomendado 100%. El restaurante es muy bonito y acogedor, tiene un ambiente agradable, la atención es excelente y la comida riquísima. Un buen lugar para compartir en familia, con tu pareja o amigos!;5.0
Toro Restaurante (poblado);5.0;asbelys;Celebración bautizo de mi bebe;"Realizamos la celebración del bautizo de mi hijo la atención, la comida y los espacios son excelentes. El mejor lugar para compartir en familia y amigos; y para comer la mejor parrilla de Medellín.";5.0
Toro Restaurante (poblado);5.0;S9435COkarenv;Bautizo Lucas;Un lugar espectacular, lleno de naturaleza, el servicio y atención fué lo mejor, un lugar muy confortable para  cualquier celebración. ❤️;5.0
Posada León;4.0;Eeva1a;Posada león;La comida estuvo muy rica, la atención excelente, un lugar muy bonito para compartir y pasar la noche.;5.0
Posada León;4.0;keisyp2018;Ricos cocteles;Ricos cocteles a buen precio acompañados de un excelente trato. se encuentra en una muy buena ubicación;5.0
Posada León;4.0;robertoaH1268IX;Breakfast/lunch;el servicio aquí fue increíble. vanessa es genial, el mejor servicio en el poblado seguro. Definitivamente vendré aquí nuevamente antes de regresar a Los Ángeles.;5.0
Posada León;4.0;F6516ZMalexl;No lograron darnos una factura de gastos;La comida poca y al final para poder pagar no lograron generar una factura electrónica para poder presentarla por gastos perdimos más de 40 minutos solo en el proceso de pago;2.0
Posada León;4.0;721danielao;Experiencia en Posada Leon;Muyyyyy lento el servicio 1 hora de espera. Si vas con hambre no vayas.  Dos tostadas y dos tacos de entrada más de una hora en llegar;2.0
Posada León;4.0;Arturo R;El mejor lugar de Provenza!;Por favor vengan a este lugar esta increíble y Juliana es un amor ❤️❤️❤️ Los drinks son increíbles y la comida también! Es fusión mexicana colombiana y yo siendo mexicano me sorprendí de lo increíble de sus sabores!;5.0
Posada León;4.0;Francisco M;Recomendable si tienes paciencia suficiente para esperar 5h hasta que te sirvan 😂;"Muy recomendable si quieres ahorrar dinero en la noche colombiana pues cuando te llega tu pedido 5h más tarde ya son las 4 a.m., han cerrado todas las discotecas de la zona, y no puedes gastar un centavo más.

El principal inconveniente  es que si...tienes un poco menos de suerte se les olvidarán las mitad de las cosas que pediste y para cuando las traigan ya ha amanecido.

Otro inconveniente es que si pides cubalibres te traen primero el ron con hielo y cuando llega la coca cola ya hay más agua que ron. Pero no intentes pedirles que te cambien el vaso con hielo porque necesita venir el manager a dar el visto bueno y el nuevo vaso llega ya con la bandeja del desayuno.Más";1.0
Posada León;4.0;Y7500XZmassimilianoc;Por casualidad;"Entremos por casualidad y enfin todo fue bien , comida , trago , postre y atención seguramente vamos a regresar .
Raccomandato";5.0
Posada León;4.0;carlos c;Pobre en calidad precio;Los cócteles no tienen nada de especial. Pedí lo cambiaran pues venía servido a mitad de la copa y no lo aceptaron pues es la medida del restaurante;1.0
Posada León;4.0;Danielvb96;Regular;La música es muy duro, no permite hablar con claridad. La comida es rica pero la relación precio-calidad es regular.;2.0
Puro Peru;4.5;sgiraldoc;De las mejores experiencias gastronómicas de Medellín;Fácilmente podría decir que es uno de mis restaurantes favoritos, desde su gran comida y su excelente servicio lo hace un inflatable en la ciudad. Mis platos favoritos son los ceviches son como de otro mundo!💘;5.0
Puro Peru;4.5;PH t;el mejor restaurante;"Definitivamente, es el mejor restaurante. Mi favorito en Medellín...
yo soy guía turístico y SIEMPRE llevo a mis clientes allí, o les recomiendo que vaya a probar. las entradas son deliciosas, los platos fuertes son brutales, los postres son deliciosos.

TINES QUE IR A CONOCERLO...O TU VIAJE A MEDELLÍN NO HABRÁ VALIDO LA PENAMás";5.0
Puro Peru;4.5;gcarvajalc;Excelente atención, y el lugar muy cuidado, pero la comida decepciona profundamente;"He visitado múltiples restaurantes peruanos en Lima y Santiago de Chile, y soy un enamorado de la cocina peruana, y esta vez fue mi primera vez en Colombia. Hay que destacar la atención y ambientación, son muy buenas, pero si elegí un restaurante llamado Puro...Perú, era para comer comida peruana, y lo que obtuve es una frustrante imitación.

El trío de ceviches venía sin cancha y con maiz dulce, realmente malo, ya que el ceviche tiene que acompañarse con maiz peruano que no es dulce y que permite el contraste de sabores con el ácido del limón, además las piezas de calamar estaban recocidas, y por lo tanto un poco duras, y finalizando lo errores, uno de los ceviches venía ¡¡con queso rallado!! .
Cuando pedí el Lomo Saltado (una de las recetas cúlmines de la cocina peruana), ni siquiera me preguntaron el término del lomo, allí empezó mal la cosa, me trajeron un plato donde los cortes de lomo eran pequeñas tiras recocidas, parecidas a la de un strogonoff, y secas, las papas eran !!tipo mcdonalds¡¡, delgadas y crujientes, todo lo contrario de la receta magistral peruana, donde el lomo son cuadrados grandes y jugosos, y las papas fritas son grandes y frescas, y nó sacadas de una bolsa de congelados. Lo único a destacar del plato, es su tamaño, la porción bastante grande, pero de una calidad decepcionante.
Finalmentre en los postres, nuevamente hubieron errores garrafales, pedí una crema volteada y un suspiro limeño. la crema volteada no estaba mal, pero el suspiro limeño venía !!sin merengue¡¡, ni siquiera terminé de comerlo.
Creo que deben cuestionarse profundamente la orientación de la cocina que quieren hacer, para el precio (130.000 colombianos por cabeza, sin incluir vinos), uno espera una cocina peruana de calidad, y lo que obtuve es una mala e insípida imitación.Más";2.0
Puro Peru;4.5;635geoffp;It was 5 and is 1 now.  Eran 5 y ahora es 1;Era uno de mis restaurantes favoritos. Fui allí mucho. Pero los alimentos son terribles ahora. Pedí un ceviche. es muy sospechoso. Usan tilapia criada en granjas baratas para reemplazar el pescado de mar. El pescado de río congelado como la tilapia tiene bacterias y no...es seguro comerlo crudo. Me preguntaron si quería cambiar algo más. Pedí un plato de pollo. Dista mucho del plato peruano. Al final me dijeron que me hiciera un GRAN favor, un 20% de descuento en el ceviche, ¿de verdad? Le daría un 5, pero no merece la pena ir. Es triste.Más;1.0
Puro Peru;4.5;169chanels;Excelente, para recomendar;"La comida es exquisita, el servicio excelente y el postre “suspiro límeño” estuvo WOW!
Un restaurante para recomendar sin temor a equivocarse";5.0
Puro Peru;4.5;B7314JQlinam;PURO PERÚ RESTAURANTE;Excelente la comida y la atencíon. El sitio es hermoso, la decoración es muy natural y elegante. Los ingredientes son frescos y deliciosos!;5.0
Puro Peru;4.5;olgatS224QU;Opinión;Excelente comida, muy variada y en el punto exacto de cocción, amable atención, un lugar muy agradable, tranquilo y muy bien ambientado, de fácil acceso, con excelente parqueadero;5.0
Puro Peru;4.5;hotelescolombia;Comida Peruana deliciosa en Medellín;"Me encanta los días cuando hay música en vivo... disfrutar de un ""Piqueo Puro Perú"" con Langostinos y ceviches mientras escuchas tocar piano y/o violín, es una experiencia realmente mágica. En su menú de postres destaca mi favorito,  las ""Flautas de almendras y arequipe con...helado"" un manjar de dioses...Más";5.0
Puro Peru;4.5;monicavE6079MX;Lo mejor de comida peruana en Medellin;Estuve la semana pasada. Me recordó mi viaje del año pasado al Peru.Simplente Delicioso  ! Recomiendo el Filete a la Chorrillana con un Pisco Sour.;5.0
Puro Peru;4.5;haroldhernandoc;PESIMO EL SERVICIO Y MUY DEMORADO;Estuve el Lunes almorzando y llegamos a las 12 del día y eran casi las dos de la tarde y no habían traído el pedido, la atención muy regular y  por ultimo con la cuenta me pregunta el mesero que si incluía el servicio, me...parece de mal gusto esa pregunta pues en ese caso ya no es voluntario sino casi impuesto.Más;2.0
Verdeo;4.5;danihiguitam;Delicioso;Tienen una carta muy variada y no es tan monótono como los restaurantes veganos que he visitado, los meseros soy muy formales y prestan un excelente servicio.;5.0
Verdeo;4.5;Patriperelman;Comida vegetariana de 1er nivel;Si quieren comer vegetariano de calidad y creativo : verdeo en el poblado, Medellín. Riquisima comida, bebidas natyrales y postres.;5.0
Verdeo;4.5;CamiCorrea;Un gran toque de sabor;"Hace casi 3 años que no veníamos a verdeo! Nos encantó la nueva sede, hermosa y acogedora, con un toque familiar como quien vuelve a casa.
De entrada unas papas criollas con limón, muuuucho limón que para mi estuvieron perfectas con salsa de maracuya y...Pesto, ¡la combinación de sabores espectacular!
Un plato de temporada muy rico con base de papa y Tofu, sabores muy ricos y variados que se combinaron para hacer feliz a mi lengua.
Mi comensal pidió hamburguesa y su descripción es “bastante rica”, 🤣
Siempre quedamos con ganas de volver.
Pd: Guandolo traduce aguapanela fría, y flor de Jamaica es increíble!Más";5.0
Verdeo;4.5;julivalelo;Lo máximo ;Es uno de los restaurantes que primero pensó en nuestra forma de vida, gracias por eso. La carta es espectacular y deliciosa. Los precios son justos y la atención es muy buena. Super recomendado ❤️🐾;5.0
Verdeo;4.5;erikagD5684CH;Almuerzo ;"Fatal. Los platos a pesar de estar bien presentados dejan mucho que desear en cuanto al sabor.  No tiene mucho que ver con el Verdeo inicial.  El local muy bonito, la atención de los meseros fatal.
Se hicieron las observaciones al administrador y nos escucho....Igual no quedaron ganas de regresar.

Demasiadas fallas en una sola visita.Más";1.0
Verdeo;4.5;Alexandra S;Excelente restaurante;Es un excelente restaurante con muy buen servicio al cliente y comida deliciosa. Los felicito por el servicio y la atención. Delicioso y sin lugar a dudas estaré allí de nuevo. 5 estrellas;5.0
Verdeo;4.5;lucyc888;Ambiente, comida y atención excelente;"Fuimos a cenar ya que una de nuestras amigas es vegetariana, yo nunca he sido muy fan de la comida vegetariana porque siempre siento que les falta sabor. Pero superó mis expectativas Verdeo ya que tienen una gran variedad!
Pedimos las papas criollas para empezar...y muy buenas con la salsa de pesto y de maracuya!
Luego yo pedí un arroz caribeño y el sabor espectacular al igual que una cantidad favorable. Vale la pena pedir la infusión fría, tiene mucho sabor y se puede pedir sin azúcar. Nos gustó tanto el restaurante que al día siguiente queríamos volver a ir, lastimosamente estaba cerrado pero iría otra vez sin dudarlo!Más";5.0
Verdeo;4.5;784leor;Almuerzo ;Excelente menú. Hermosa zona. Opciones veganas y vegetarianas. Los falafels son deliciosos y la verdad que normalmente prefiero vegano pero la hamburguesa de portobello y queso azul es riquísima.;5.0
Verdeo;4.5;alecalderonfer;Rico!;Es una buena opción si eres vegetariano, los platos son muy ricos y completos. la sopa estaba un poco floja pero todo lo demás delicioso!;4.0
Verdeo;4.5;izas86;Sitio especial para veganos y vegetarianos;"Las papas criollas deliciosas, el hummus también pero no nos gustó tanto la ensalada árabe (demasiado tabbouleh) aunque las bolas de falafel muy ricas. 
El local es precioso, bien ambientado y decorado";4.0
Chef Burger;4.5;Viaja_Sonrie_Come;Rica hamburguesa por la zona..;"Entre tanta opción por la zona del poblado optamos por este local y sus hamburguesas y fue una opción bastante buena la verdad! es de una cadena, pero bastante bien oye..

El local está bien ambientado, buen servicio, precios algo arriba pero rica hamburguesa, la...carne correcta, flojo el pan y las patatas podrían estar mejor, pero uno elige que tipo, refresco de refil y buen ambiente, turistas y también locales..Más";3.0
Chef Burger;4.5;rasv83;La peor experiencia;"Domicilio tardo 2 horas y 45 minutos.
No llego la orden como la había pedido.
La carne llego cruda.
La atención en la linea de domicilios fue mala.
Absolutamente decepcionante y TODO de mala calidad.";1.0
Chef Burger;4.5;NelsonRafael013;Explosión de sabores;Uno de los mejores locales de hamburguesas en Medellín es Chef Burguer. Presenta una opción variada de sus hamburguesas, con un pana exquisito y una carne muy jugosa.;5.0
Chef Burger;4.5;Ivar C;Mala experiencia;"Me llamó mucho la atemción de sus instalaciones que se dejan ver desde las afueras del cc La central, per oeso fué lo único bonito que me quedaría después de tomar la iniciativa de ir a probar lo que venden. No me gustó para nada...la hamburguesa que pedí, me pareció muy maluca y no solo yo, ya que fuí con mi hio y dos compañeros más, a ninguno nos gustó la experiencia de hber ido allá, y aparte dicen que la propina es ""voluntaria"" y de voluntaria no tiene nada, desde que haces el pedido hasta que te llevan la cuenta es presionandote sobre el pago de la ""propina voluntaria"", no vuelvo a ir a sus restaurantes.Más";2.0
Chef Burger;4.5;alangR2871BI;La peor experiencia de Medellin;Hoy realice un pedido a las 6:40pm, donde me indicaron que tomaría máximo una hora en llegar, posteriormente llame a las 7:47pm y me informaron que el pedido estaba retrasado por alguna razón no dicha y comunicaron que en 10 minutos estaría en mi casa....Posteriormente tuve que volver a llamar a las 8:15pm, y esta vez la operadora me dijo que el pedido estaba retrasado por la lluvia y claramente no estaba lloviendo. Al llegar el domiciliario al fin alrededor de las 8:30pm éste me dice que había recogido el pedido solo 12 minutos antes y peor aún al intentar consumir las hamburguesas estaban frias y secas, se notaba que llevaban tiempo esperando. Realmente la peor experiencia en hamburguesas que he tenido en Medellín, por lo que no recomendaré por ninguna razón este servicio y mucho menos su producto. Fue una experiencia nefasta.Más;1.0
Chef Burger;4.5;Rprestol;Sin desperdicio;"Fuimos un lunes por la noche. El lugar estaba prácticamente lleno. Solo quedaban dos mesas libres. No es un lugar grande pero el ambiente es bonito. Te separa de la cantidad de personas que suelen acumularse en el área. 

Lo más importante fue la comida...como era de esperarse. Un 10/10. 

De entrada pedimos unas papas fritas con queso fundido y crema agria me parece, pico de gallo y bacon triturado, ¡Riquísimas!

Las hamburguesas:
Ordenamos  la Gringa y la Argentina ( en las fotos es la que tiene la tapa de pan a un lado ).  

Tienes opción de pedir las papas de acompañamiento a la francesa, chips, rústicas o aros de cebolla. Pedimos rústicas y a la francesa, ambas estuvieron geniales. 

Para las bebidas, si ordenas coca cola, tienes refill gratuito. 

La atención excelente, nuestra mesera (Laura, si no recuerdo mal) fue muy atenta y pendiente de todo lo que necesitamos. 

La propina es voluntaria.Más";5.0
Chef Burger;4.5;patogomez4g;Un restaurante nada recomendable;Pedí una burger de pollo crujiente, la peor burger de pollo que me he comido. La carne no se veía, era una lámina apanada, súper seca, solo le sabía el sabor del rebosado. La verdad muy decepcionante. Antes hacía unos años había comido ahí y...súper rica pero desde que montaron varios restaurantes parece que se olvidaron de lo más importante LA CALIDAD. Pedimos entradas y la verdad nada del otro mundo,Más;1.0
Chef Burger;4.5;NelsonRafael013;Hamburguesas de lujo;Si quieres deleitarte de una buena hamburguesa, con un buen pana y unos excelentes acompañantes, Chef Burguer es la opción. Estas hamburguesas están catalogadas entre las mejores de Medellín y probarlas, es certificar eso.;5.0
Chef Burger;4.5;MANUBO90;Mal;Pésimo servicio, no quisieron servir un menú infantil porque no veian al niño. No se les ocurre algo más desfachatado. Además el sitio no es aseado y huele a grasa con mugre. La mesera desapareció en señal de que no quería atendernos. Muy mal mal...malMás;1.0
Chef Burger;4.5;esconk;HAMBURGUESA MINIATURA;"He sido fan desde hace más de 6 años de Chef burger, hace unas dos semanas fui a comer a la sucursal que tienen en el C.C Viva Envigado, pedí lo que siempre he pedido, una Sailor Jerry y quedé impresionada como ha cambiado el...producto, antes era una hamburguesa de tamaño normal, ni muy grande ni muy pequeña, ahora es miniatura, una hamburguesa que vale 27 mil pesos y es impresionante lo pequeña que es, de verdad para no volver, la atención tampoco fue la mejor, entiendo el concepto de la marca, que es gentil, amable y amena, pero la mesera termino diciéndonos a mi novio y a mi ""MOR"" ""¿qué más quieres MOR?"" tampoco es el trato de un mesero con un cliente, una marca muy bien conceptualizada en los años, pero que ha pedido la calidad de su producto, muy triste.Más";3.0
Restaurante Piqueo;4.5;anaelenae2023;Piqueo;"Todo estuvo excelente, desde la atención hasta los alimentos!! 
Y el postre de chocolate DELICIOSO!!!";5.0
Restaurante Piqueo;4.5;437antonial;Que buen inicio 2023!!!;Me encantó! La mejor atención y que delicia de comida!! Solo fuimos a tomar algo y conversa y salimos hasta con postre!!! Gracias por estas buenos inicios 2023!!!;5.0
Restaurante Piqueo;4.5;Departure631543;La comida buena, la atención y la logística del rest la peor del mundo pagamos una cuenta de un millón de pesos MALA;La peor atención de Medellín nos cerraron hasta las ventanas la cuenta altísima y después de pagar lo peor no Vuelvo MALO;1.0
Restaurante Piqueo;4.5;Carolarozo;Excelente;Me encata su comida y su atención mas de 12 años que voy. Sus intalaciones y personal son especatulares.;5.0
Restaurante Piqueo;4.5;Y3801DDmichaelp;Restaurante Piqueo;"Excelente restaurante! 100 recomendado! Su servicio,
cantidad de comida! Y el restaurante no es nada caro.";5.0
Restaurante Piqueo;4.5;Ziopex76;Precios exagerados por esa  cantidad ridícula ;Me esperaba más de un restaurante de supuestamente tan alto nivel un piqueo para dos personas super pobre prácticamente eso fue una entrada para una persona  he comido por menos de la mitad y con el doble y el triple de cantidad en otros peruanos;1.0
Restaurante Piqueo;4.5;fersuarez75;Magnifico;Muy buen ambiente, muy buena comida, menú interesante, el servicio exclente, recomendado. Buenos vinos también.;5.0
Restaurante Piqueo;4.5;cristinae16;Miren siempre los precios;Lindo el restaurante y buena atención. Miren siempre la carta o pregunten precios si el mesero los asesora. Por dos entradas, dos jugos de mandarina y una botella de vino las moras normal( no reserva) pagamos $ 500.000. Todos nos quedamos plop;4.0
Restaurante Piqueo;4.5;dapa14;RICO;"Apesar de estar en una via principal de un solo sentido no es tan fácil de llegar. La comida es sabrosa. La música un poco alto el volumen. Buena atencion.
Recomendado.";4.0
Restaurante Piqueo;4.5;gustavosZ6708ZX;No tan bueno como era antes;Había ido varias veces a Piqueo antes de la pandemia cuando quedaba cerca a la carrera 36.  Lugar especial, servicio excelente y comida deliciosa.  Anoche fui con mi esposa de día del amor y la amistad a su nueva ubicación pero nos encontramos con un...lugar que parece más discoteca que restaurante.  El servicio sigue siendo excelente pero el ambiente y la calidad de la comida dejan mucho que desear.Más;3.0
Chum Burgers and Fries;5.0;938juli_nf;Muy buen servicio.;Las hamburguesas tienen muy buen sabor. Especialmente la Phili. Y el servicio es rápido y todos son muy amables;5.0
Chum Burgers and Fries;5.0;jeronimoa347;Delicioso;La comida excelente 10/10, el servicio de lo mejor, personas muy respetuosas y amables, fui con amigos de la universidad y la pasamos excelente;5.0
Chum Burgers and Fries;5.0;manuelacN8509NF;Hamburguesas deliciosaaaa;Súper recomendando, la atención es excelente y la comida mucho mejor, el sabor de las hamburguesas son únicas;5.0
Chum Burgers and Fries;5.0;993mariadelmarv;Excelente Restaurante!!!!;"La comida exquisita y el servicio muy bueno

Muy recomendado    
Muy atentos 
Rápido servicio y en excelente presentación";5.0
Chum Burgers and Fries;5.0;Simom790;Chum burger;La mejor de Medellín recomiendo 100 % para todos familia y amigos , increíble la atención me senti cómo en casa;5.0
Chum Burgers and Fries;5.0;andreamonvera24;Demasiado espectacular!;La comida es absolutamente deliciosa, cada plato estuvo exquisito, las chicas son súper amables, atención es excelente, los precios son muy justos.. todo es maravilloso aquí.;5.0
Chum Burgers and Fries;5.0;Laura M;Deliciosa la hamburguesa;El lugar tiene un ambiente súper chévere, el sabor de la hamburguesa delicioso. La salsa de las papas es súper rica. Super recomendado para ir con amigos y pasar un rato agradable.;5.0
Chum Burgers and Fries;5.0;Sacul85;Muy sabrosas las hamburguesas.;Excelente calidad y servicio. Muy buenas opciones, el tamaño y sabor de las hamburguesas es perfecto.;5.0
Chum Burgers and Fries;5.0;pedrolonpe;Excelente Hamburguesa, Ambiente y Servicio;Excelente todo. Desde la ubicación, la comida y el ambiente hasta el personal. Definitivamente volvere y muy recomendado!;5.0
Chum Burgers and Fries;5.0;sergioandresc531;La pasamos bien;Buen servicio, comoda, atención y precio vale la pena volver a disfrutar de un espacio muy ameno para compartir;5.0
GABO.MDE;5.0;jocampoz;Gabo. Mde en familia;"Lugar muy agradable para compartir en familia, amigos, tardar. Puede leer un buen libro disfrutar del lugar la atención super buena. 

Lugar recomendado 10 de 10";5.0
GABO.MDE;5.0;DouglasLorduy;¡Mi nuevo restaurante favorito de Medellín!;Tremendo hallazgo. Una delicia este restaurante que, además, tiene un ambiente muy agradable adornado de plantas nativas y de detalles alusivos a la obra literaria de ‘Gabo’ (G. García Márquez). Muy bien ubicado en la zona de Manila de Medellín. Desde las entradas, pasando por...los platos fuertes, hasta los postres, una experiencia creativa, delicada, única para quienes disfrutamos de una buena cena, en este caso excelente.Más;5.0
GABO.MDE;5.0;Sarisortizv;Restaurante GABO, experiencia Mágica;Fue de celebración de cumpleaños al restaurante GABO y no me esperaba un lugar tan maravilloso, el ambiente súper agradable, la música acordé, el servicio excelente, y la comida de locura, una combinación de sabores que te explotan el paladar. Super recomendado.;5.0
GABO.MDE;5.0;Y8844MHdanielac;Excelente atención para mí y mi mascota;La comida es deliciosa, el ambiente muy acogedor, la decoración de cumpleaños fue muy linda y sin costo adicional, son super PET FRIENDLY, lo cual me encantó;5.0
GABO.MDE;5.0;927lisetr;Sabores deliciosos;La restaurante tiene una hermosa decoración referida a Gabo, la mezcla de sabores es única y en general la comida fue deliciosa. Destaco la entrada de mezcla de quesos con bocadillo y pandebonos , una combinación maravillosa 😍;5.0
GABO.MDE;5.0;carloscM9892JT;Excelente restaurante;El restaurante tiene una tematica muy llamativa, los platos son deliciosos (Si o si deben probar la posta cartagenera), el ambiente super, la mesera fue muy atenta. Un poco alta la musica, pero igual fue excelente! Todo super;5.0
GABO.MDE;5.0;Jorge R;El mejor Restaurante de Medellín👍;"Magnifico ambiente, insuperable servicio y la comida espectacular. La mejor experiencia culinaria en Medellín. Un sabor Paisa mezclado con frutas y especias que hacen de sus carnes y complementos únicos.
Desde la entrada hasta el postre y combinado con una Sangría muy especial nos brindaron...una velada que tenemos que repetir.
Muy agradecido del servicio y de su manager Santiago que compartió de su tiempo con nosotros.
Les auguro mucho éxito y espero repetir nuestra experiencia pronto👍Más";5.0
GABO.MDE;5.0;danielarD1191IX;Me encanto este lugar;La comida deliciosa y me encantó la atención. Un lugar muy rico para ir en familia o en amigos. No se pueden ir sin probar los cocteles . Me encanto!!;5.0
GABO.MDE;5.0;Andrevasquel;Excelente;El sitio es delicioso! Decidimos pedir de entrada los baos de solomito, luego un plato de pesca y posta cartagenera y terminamos con el postre llamado deconstrucción… sinceramente todo esta delicioso y el personal es extra amable;5.0
GABO.MDE;5.0;102nicolasp;Para volver;Con buenas opciones, se convierte en un muy buen restaurante para volver. Queda en Manila, buena zona. Cómoda para parquear en sus alrededores. Buena sazón encontré en el plato pedido, la pechuga rellena, también se pidieron la posta Cartagena, que dicen que es famosa, y...la corvina. Todos con buena cantidad de proteína, tal vez el menor fue la pechuga aunque quede muy bien. Los precios son entre medio y medio alto pero es muy buena la relación costo beneficio. Lugar agradable. Puede que los tiempos de preparación sean amplios pero de pronto sería en lo que debe mejorar, servicio mas ágil en bebidas y en platos, el resto muy bueno.Más;4.0
Hatoviejo;4.0;pcmartinperez;Deliciosa comida Tipica;Una deliciosa Bandeja Paisa, un suculento Ajiaco! Unas empanadas de sobrebarriga y la plancha de queso Papialpa estuvo todo de rechupete;5.0
Hatoviejo;4.0;V1063FXivanr;estan perdiendo en valor diferencial;Hato viejo, la tienda, a pesar de ser un sitio costoso,  era un  buen sitio para reunirse con amigos, y disfrutar unos buenos tragos con excelente servicio , hoy es uno mas,  perdió su encanto, la atención del personal continua igual, pero el valor agregado...de viandas y frutas es ya  restringido o con cobros adicionales, ya perdió la relación costo beneficio, porque siguen cobrando caro, pero entregan mucho menos.Más;3.0
